,state,2018
0,Maine,518327
1,North Carolina,3918502
2,Georgia,3881953
3,Alaska,241624
4,Alabama,1784690
5,Vermont,244457
6,Wisconsin,2415610
7,Nevada,1116771
8,West Virginia,605626
9,Oklahoma,1466424
10,Puerto Rico,825434
11,Virginia,3235570
12,North Dakota,327555
13,South Carolina,1876078
14,Oregon,1431100
15,Wyoming,215701
16,California,13681331
17,Mississippi,1040672
18,Connecticut,1396984
19,Texas,10764273
20,Florida,7596575
21,Massachusetts,2482764
22,District of Columbia,129349
23,Utah,1146991
24,New York,4940096
25,New Jersey,3115777
26,Ohio,4550274
27,Missouri,2377360
28,Pennsylvania,4637243
29,Nebraska,809453
30,Maryland,2279787
31,Michigan,3784352
32,Idaho,633347
33,New Mexico,694145
34,Hawaii,476117
35,Rhode Island,422704
36,Arizona,2417249
37,Tennessee,2569224
38,Kansas,1176517
39,Colorado,2220259
40,Indiana,2631206
41,Kentucky,1618938
42,Louisiana,1650009
43,Illinois,4500138
44,Iowa,1295893
45,New Hampshire,576686
46,Arkansas,1075012
47,Delaware,360283
48,Minnesota,2270810
49,Montana,385558
50,South Dakota,363161
51,Washington,2597102
