state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,25810,25853,21156,23578,20806,22961,22130,23875,23594,22416,26208
Alaska,26751,27069,26407,26338,31566,28730,28801,27628,25829,27597,24732
Arizona,65624,52391,58221,54884,56982,56505,60638,54823,61420,55276,62452
Arkansas,22866,22201,22777,20051,20212,22173,22033,25456,23112,20052,25361
California,447411,429786,445440,441486,457693,467779,474323,481638,473375,489073,479751
Colorado,73437,72320,72487,85695,75639,71357,77861,84470,77250,88231,81116
Connecticut,50342,48348,51370,51475,54686,55459,52826,48896,49471,47111,50418
Delaware,9713,9044,8758,9550,9098,9709,9655,8167,9566,10720,10504
District of Columbia,32328,34895,36200,38795,45003,44965,50165,49514,47625,50327,51806
Florida,118132,130004,121801,127838,127509,124298,126149,137204,132386,130643,154954
Georgia,70992,60545,68417,71148,64483,68722,69170,72701,74886,73027,74008
Hawaii,29016,29641,31906,31804,28327,31941,29047,33401,38388,25879,32002
Idaho,17568,21488,23284,20109,21482,15498,23518,19709,17473,19701,22567
Illinois,189926,178901,182021,186595,187588,186414,185404,184968,177158,171445,187381
Indiana,62950,62196,59297,64333,59191,60227,69969,66298,65561,61795,73084
Iowa,61390,54328,53020,55697,57528,52660,54044,54449,51025,47472,50497
Kansas,38761,35048,32181,30985,34400,34196,32791,35041,33316,31124,32070
Kentucky,43922,31407,38405,42463,42149,45495,46953,41353,40974,38690,44748
Louisiana,39371,38366,41820,36437,33986,36868,41099,33167,33755,35902,43025
Maine,26414,21874,23663,27462,24616,25193,24332,25820,26835,27056,25434
Maryland,74434,64917,65220,71970,69897,69084,77065,74847,65595,64267,67886
Massachusetts,151189,147318,148790,161358,158506,165363,173988,168580,169562,181070,181556
Michigan,98309,88131,89744,91536,92316,97167,102456,94131,99437,104812,101024
Minnesota,77059,74469,73367,76853,81150,81889,77518,75145,76587,80543,77562
Mississippi,19684,20115,19646,20079,18071,16865,17702,16760,16547,16692,13518
Missouri,54127,55578,55127,52783,55310,57578,53818,52536,55850,59060,60586
Montana,24724,23813,22377,22947,25078,22471,27183,28169,25114,28187,21487
Nebraska,30642,25432,25907,26578,26175,27652,27685,23977,27271,24350,27561
Nevada,25187,21115,24503,27904,27757,26530,28644,22751,27197,25010,23281
New Hampshire,19158,18809,18854,21007,21028,17754,19112,22011,17018,18327,17478
New Jersey,137504,118235,126204,125193,120053,133018,140033,123553,130035,112666,118774
New Mexico,20989,18920,21081,19615,19542,17945,20033,19839,17589,15686,18115
New York,574322,542579,575553,568540,574861,576752,583151,577983,584649,555976,584422
North Carolina,82681,74542,71929,82256,80677,79919,79234,79649,82854,87368,87959
North Dakota,12419,13789,14477,14373,17564,13553,15532,11933,15495,13525,12830
Ohio,116395,114502,117776,123591,117442,116550,127226,127034,114359,121772,127235
Oklahoma,30444,28961,30992,34486,28664,29971,30382,29496,33298,35111,26055
Oregon,65863,65195,64600,77731,70272,70615,69658,68682,72559,78004,76020
Pennsylvania,227700,218870,223525,223141,228809,229204,232461,218035,213841,216820,225258
Puerto Rico,46251,39070,40128,32842,33122,36960,30421,31596,27693,20540,28614
Rhode Island,15797,18402,16084,18339,20509,19942,18987,18445,18555,17903,17593
South Carolina,36672,36916,45156,43028,51361,46514,43809,46566,48223,47618,48313
South Dakota,17914,17697,17498,16612,17790,18453,13448,16482,14795,12744,14428
Tennessee,38131,33441,38271,36184,38422,42735,36170,39448,41231,40058,44697
Texas,192756,185610,191128,187514,191481,192370,195341,201154,200474,195470,211383
Utah,36985,35286,29964,33288,33378,31770,38820,39435,35016,36626,32418
Vermont,17214,17349,19991,19430,16530,17236,18611,18885,18272,16920,17220
Virginia,85818,103982,90716,87938,99433,91217,96587,108451,108589,93874,99457
Washington,103950,105947,106793,113798,111765,115552,123485,129410,122540,134410,129741
West Virginia,20652,22536,20060,23331,20464,21210,19763,23035,20921,19114,21207
Wisconsin,94869,86733,94268,91652,99926,92497,92030,88382,88054,86491,87615
Wyoming,9347,12154,9737,9280,13284,10568,13285,13105,10106,12127,8253
