state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,
Alabama,202114,195292,194044,186834,169281,171927,180752,165046,173508,162698,185044,,
Alaska,44499,45376,43244,47473,46463,43221,45738,44258,41554,43608,41975,,
Arizona,325472,305162,308658,300566,304044,295724,307864,328645,339590,348622,348898,,
Arkansas,141904,138346,125188,137885,124069,136027,134929,128593,126414,135838,140667,,
California,1873082,1831538,1780802,1821450,1825475,1813154,1770281,1846542,1837270,1854318,1841273,,
Colorado,248258,243835,241770,245831,250316,258146,230500,251828,246847,253437,258425,,
Connecticut,143891,135921,148783,142303,143902,142584,138902,146214,139660,146099,135546,,
Delaware,36947,38268,36871,34036,38451,33132,34752,39457,30680,41270,39638,,
District of Columbia,19375,17630,19792,18396,17512,19166,18456,18358,19495,19352,21290,,
Florida,819220,757260,791693,795280,786821,783105,794711,835441,850429,899569,901161,,
Georgia,469741,424278,438045,439477,442364,448491,453091,451251,472742,460590,458996,,
Hawaii,89533,90538,92436,102542,90503,92733,95464,96541,93324,104144,93065,,
Idaho,73978,66471,66108,70227,66598,69747,79038,72056,78853,71019,77332,,
Illinois,529811,502443,513689,526666,498666,482137,482647,471442,476743,510939,472274,,
Indiana,265322,242733,254647,276458,262198,273249,264220,264930,273274,282715,306564,,
Iowa,148870,146859,134813,138408,133035,134837,135819,129304,127722,129016,136250,,
Kansas,129613,124333,138640,135242,126485,131934,125499,125893,124688,133441,122587,,
Kentucky,193729,186526,171579,180512,178557,187060,184672,178334,182526,183996,178419,,
Louisiana,207837,206556,197402,194194,191473,194386,181268,185059,184808,179514,177682,,
Maine,64290,55677,62249,69730,66835,68589,55341,57703,61644,65824,63687,,
Maryland,284342,304131,288690,286359,266301,274626,265758,273968,278721,270693,267221,,
Massachusetts,265382,246522,263193,255640,247588,251628,256929,267156,255099,264744,264946,,
Michigan,370831,347458,368327,377209,375096,389166,383772,398251,397111,412152,413874,,
Minnesota,244619,226272,249855,244969,237915,247813,238071,246345,237068,245484,243585,,
Mississippi,127286,115956,123660,125832,122009,104514,109591,119367,110724,108124,110430,,
Missouri,274709,250846,263107,265496,255440,245614,248466,248079,242764,243718,244642,,
Montana,44785,44652,48941,50885,48007,50849,50328,45455,45362,48660,50917,,
Nebraska,94107,90211,87024,94886,88899,92268,87263,87568,90480,85937,89738,,
Nevada,123783,130007,132460,132358,131418,133593,138448,137953,137487,149253,155163,,
New Hampshire,54215,51501,57884,48989,55129,53572,52340,60483,59118,53106,56619,,
New Jersey,357876,340504,344286,340842,333065,339529,320289,364623,349334,360215,348602,,
New Mexico,99101,89304,86387,97996,90993,83086,79397,82912,92079,97608,84938,,
New York,658207,602314,588090,612325,622538,599205,611083,606605,589896,586563,591116,,
North Carolina,445097,414493,415821,449216,436173,429299,426232,423351,423062,452538,431414,,
North Dakota,36666,31103,35122,36676,39143,32441,34772,40390,33135,34811,34424,,
Ohio,433323,392980,418378,422150,408204,417190,418445,406914,419640,454572,447970,,
Oklahoma,180451,184582,180635,174714,165349,180336,177721,164119,171438,169332,169342,,
Oregon,176976,166549,171310,177288,178949,191874,188357,184632,189746,189107,190483,,
Pennsylvania,515208,504848,519843,519724,489849,505921,511031,499808,515172,518838,520230,,
Puerto Rico,119264,110089,93373,102432,90486,91968,85555,86836,49305,77865,79042,,
Rhode Island,45022,39358,42984,45042,40577,37493,49275,42641,214454,42327,43901,,
South Carolina,197051,181845,182292,186295,185108,196921,199079,206196,34059,217339,203680,,
South Dakota,42132,40386,40838,38511,39307,39907,36117,38219,270357,39397,40155,,
Tennessee,267631,267833,258280,262229,260803,264791,264633,255862,1285104,277378,282723,,
Texas,1259544,1236597,1252849,1280750,1278630,1301080,1276953,1289249,159591,1301251,1330991,,
Utah,146878,135917,150189,158411,154880,159329,156502,157393,29243,168587,164101,,
Vermont,31629,29787,31532,32522,30645,27727,26263,25358,363154,29202,27720,,
Virginia,396824,383909,355426,393282,376679,378398,374422,393221,362924,384725,385944,,
Washington,350836,319376,315066,340987,322660,335648,330657,341795,64022,357163,370579,,
West Virginia,76548,68388,76693,77490,79513,71268,62754,67100,224352,62368,66033,,
Wisconsin,258073,242836,246896,250241,231596,234322,229662,239740,28481,222219,236541,,
Wyoming,30076,30849,31067,33043,31509,32672,28959,25590,73790,28889,32184,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
